Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,306.100006,315.130005,298.799988,310.119995,310.119995,11658600
2019-01-03,307.000000,309.399994,297.380005,300.359985,300.359985,6954400
2019-01-04,306.000000,318.000000,302.730011,317.690002,317.690002,7394100
2019-01-07,321.720001,336.739990,317.750000,334.959991,334.959991,7551200
2019-01-08,341.959991,344.010010,327.019989,335.350006,335.350006,7008500
2019-01-09,335.500000,343.500000,331.470001,338.529999,338.529999,5432900
2019-01-10,334.399994,345.390015,331.790009,344.970001,344.970001,6056400
2019-01-11,342.089996,348.410004,338.769989,347.260010,347.260010,5039100
2019-01-14,342.380005,342.500000,334.000000,334.399994,334.399994,5247300
2019-01-15,335.000000,348.799988,334.500000,344.429993,344.429993,6056600
2019-01-16,344.779999,352.000000,343.500000,346.049988,346.049988,4691700
2019-01-17,346.209991,351.500000,344.149994,347.309998,347.309998,3676700
2019-01-18,323.000000,327.130005,299.730011,302.260010,302.260010,24150800
2019-01-22,304.820007,308.000000,295.500000,298.920013,298.920013,12066700
2019-01-23,292.500000,294.500000,281.690002,287.589996,287.589996,12530000
2019-01-24,283.029999,293.679993,279.279999,291.510010,291.510010,8012200
2019-01-25,294.390015,298.519989,289.549988,297.040009,297.040009,7249600
2019-01-28,292.910004,297.459991,287.750000,296.380005,296.380005,6423300
2019-01-29,295.269989,298.559998,291.799988,297.459991,297.459991,4621700
2019-01-30,300.450012,309.000000,298.489990,308.769989,308.769989,11250300
2019-01-31,301.000000,311.559998,294.000000,307.019989,307.019989,12569200
2019-02-01,305.420013,316.100006,303.500000,312.209991,312.209991,7283400
2019-02-04,312.980011,315.299988,301.880005,312.890015,312.890015,7352100
2019-02-05,312.489990,322.440002,312.250000,321.350006,321.350006,6742800
2019-02-06,319.589996,324.239990,315.619995,317.220001,317.220001,5038500
2019-02-07,313.299988,314.700012,303.000000,307.510010,307.510010,6520600
2019-02-08,306.829987,307.450012,298.500000,305.799988,305.799988,5844200
2019-02-11,311.600006,318.600006,310.500000,312.839996,312.839996,7129700
2019-02-12,316.200012,318.190002,309.619995,311.809998,311.809998,5517600
2019-02-13,312.350006,312.750000,305.570007,308.170013,308.170013,5141600
2019-02-14,303.380005,306.769989,301.000000,303.769989,303.769989,5200800
2019-02-15,304.500000,308.000000,303.899994,307.880005,307.880005,3904900
2019-02-19,306.559998,311.540009,305.470001,305.640015,305.640015,4168400
2019-02-20,304.410004,306.299988,299.000000,302.559998,302.559998,7142100
2019-02-21,301.809998,303.239990,290.500000,291.230011,291.230011,8909200
2019-02-22,294.489990,296.500000,292.100006,294.709991,294.709991,5740600
2019-02-25,297.910004,302.899994,297.000000,298.769989,298.769989,6626500
2019-02-26,292.220001,302.010010,288.769989,297.859985,297.859985,8582500
2019-02-27,301.779999,316.299988,300.549988,314.739990,314.739990,11183900
2019-02-28,318.920013,320.000000,310.809998,319.880005,319.880005,10520700
2019-03-01,306.940002,307.130005,291.899994,294.790009,294.790009,22911400
2019-03-04,298.119995,299.000000,282.779999,285.359985,285.359985,17096800
2019-03-05,282.000000,284.000000,270.100006,276.540009,276.540009,18764700
2019-03-06,276.480011,281.510010,274.390015,276.239990,276.239990,10335500
2019-03-07,278.839996,284.700012,274.250000,276.589996,276.589996,9420000
2019-03-08,276.910004,285.589996,275.890015,284.140015,284.140015,8819600
2019-03-11,283.519989,291.279999,280.500000,290.920013,290.920013,7392300
2019-03-12,286.489990,288.070007,281.059998,283.359985,283.359985,7504100
2019-03-13,283.899994,291.989990,282.700012,288.959991,288.959991,6844700
2019-03-14,292.450012,295.390015,288.290009,289.959991,289.959991,7103400
2019-03-15,283.510010,283.720001,274.399994,275.429993,275.429993,14785500
2019-03-18,276.000000,278.049988,267.299988,269.489990,269.489990,10281000
2019-03-19,267.500000,273.299988,263.459991,267.470001,267.470001,11800600
2019-03-20,269.690002,274.970001,266.299988,273.600006,273.600006,6908200
2019-03-21,272.600006,276.450012,268.450012,274.019989,274.019989,5947100
2019-03-22,272.579987,272.799988,264.000000,264.529999,264.529999,8745600
2019-03-25,259.709991,263.179993,254.460007,260.420013,260.420013,10215000
2019-03-26,264.440002,270.260010,264.429993,267.769989,267.769989,7350900
2019-03-27,268.750000,275.369995,268.179993,274.829987,274.829987,8779200
2019-03-28,277.160004,280.329987,275.100006,278.619995,278.619995,6774100
2019-03-29,278.700012,280.160004,274.500000,279.859985,279.859985,5991300
2019-04-01,282.619995,289.200012,281.279999,289.179993,289.179993,8110400
2019-04-02,288.299988,289.440002,283.880005,285.880005,285.880005,5478900
2019-04-03,287.320007,296.170013,287.170013,291.809998,291.809998,7929900
2019-04-04,261.890015,271.200012,260.589996,267.779999,267.779999,23720700
2019-04-05,269.859985,276.100006,266.109985,274.959991,274.959991,13038300
2019-04-08,277.690002,281.160004,270.440002,273.200012,273.200012,10410400
2019-04-09,271.649994,275.000000,269.609985,272.309998,272.309998,5904000
2019-04-10,276.739990,278.380005,272.890015,276.059998,276.059998,7061300
2019-04-11,268.299988,270.500000,265.600006,268.420013,268.420013,9835900
2019-04-12,270.220001,271.950012,266.829987,267.700012,267.700012,6746000
2019-04-15,268.630005,268.880005,258.630005,266.380005,266.380005,10038600
2019-04-16,265.750000,275.000000,264.720001,273.359985,273.359985,7272900
2019-04-17,274.750000,274.790009,268.540009,271.230011,271.230011,5126500
2019-04-18,271.230011,274.839996,269.750000,273.260010,273.260010,5876300
2019-04-22,269.000000,269.679993,262.480011,262.750000,262.750000,12147100
2019-04-23,260.149994,265.600006,255.750000,263.899994,263.899994,10943900
2019-04-24,263.850006,265.320007,258.000000,258.660004,258.660004,10727500
2019-04-25,255.000000,259.000000,246.070007,247.630005,247.630005,21849400
2019-04-26,246.500000,246.679993,231.130005,235.139999,235.139999,22360700
2019-04-29,235.860001,243.979996,232.169998,241.470001,241.470001,16714500
2019-04-30,242.059998,244.210007,237.000000,238.690002,238.690002,9464600
2019-05-01,238.850006,240.000000,231.500000,234.009995,234.009995,10704400
2019-05-02,245.520004,247.130005,237.720001,244.100006,244.100006,18159300
2019-05-03,243.860001,256.609985,243.490005,255.029999,255.029999,23706800
2019-05-06,250.020004,258.350006,248.500000,255.339996,255.339996,10833900
2019-05-07,256.799988,257.209991,245.100006,247.059998,247.059998,10131400
2019-05-08,246.940002,250.600006,244.199997,244.839996,244.839996,6176400
2019-05-09,242.000000,243.679993,236.940002,241.979996,241.979996,6711400
2019-05-10,239.750000,241.990005,236.020004,239.520004,239.520004,7008300
2019-05-13,232.009995,232.470001,224.500000,227.009995,227.009995,10834800
2019-05-14,229.300003,234.500000,228.000000,232.309998,232.309998,7252400
2019-05-15,229.320007,232.440002,225.250000,231.949997,231.949997,7296000
2019-05-16,229.490005,231.000000,226.500000,228.330002,228.330002,7483300
2019-05-17,221.960007,222.240005,208.919998,211.029999,211.029999,17786700
2019-05-20,202.800003,206.000000,195.250000,205.360001,205.360001,20526200
2019-05-21,197.759995,207.399994,196.039993,205.080002,205.080002,18003900
2019-05-22,199.100006,203.940002,191.779999,192.729996,192.729996,18685200
2019-05-23,194.339996,199.470001,186.220001,195.490005,195.490005,26547100
2019-05-24,199.830002,199.979996,188.750000,190.630005,190.630005,14136600
2019-05-28,191.199997,195.000000,187.850006,188.699997,188.699997,10312900
2019-05-29,187.100006,192.389999,185.039993,189.860001,189.860001,11968600
2019-05-30,188.750000,192.259995,187.020004,188.220001,188.220001,7926500
2019-05-31,185.100006,189.919998,184.100006,185.160004,185.160004,10406700
2019-06-03,185.509995,186.679993,176.990005,178.970001,178.970001,13064400
2019-06-04,181.100006,193.979996,179.610001,193.600006,193.600006,13807500
2019-06-05,198.679993,201.279999,191.850006,196.589996,196.589996,13510800
2019-06-06,204.440002,211.000000,201.800003,205.949997,205.949997,20242200
2019-06-07,205.000000,210.839996,203.500000,204.500000,204.500000,16003500
2019-06-10,210.250000,216.940002,209.009995,212.880005,212.880005,10585000
2019-06-11,219.139999,220.899994,213.500000,217.100006,217.100006,11653500
2019-06-12,222.949997,223.380005,209.000000,209.259995,209.259995,15197500
2019-06-13,210.380005,214.899994,207.509995,213.910004,213.910004,8168300
2019-06-14,211.250000,216.649994,210.399994,214.919998,214.919998,7433400
2019-06-17,215.479996,227.000000,214.270004,225.029999,225.029999,12316800
2019-06-18,228.720001,234.740005,222.559998,224.740005,224.740005,12715800
2019-06-19,225.110001,227.770004,221.059998,226.429993,226.429993,6575100
2019-06-20,223.000000,226.899994,216.350006,219.619995,219.619995,11863500
2019-06-21,216.220001,222.179993,215.500000,221.860001,221.860001,8202100
2019-06-24,223.240005,225.860001,221.020004,223.639999,223.639999,5750800
2019-06-25,224.389999,225.339996,219.490005,219.759995,219.759995,6182100
2019-06-26,220.309998,227.229996,218.100006,219.270004,219.270004,8507200
2019-06-27,219.449997,222.899994,217.350006,222.839996,222.839996,6339700
2019-06-28,220.990005,225.169998,220.800003,223.460007,223.460007,6851400
2019-07-01,230.210007,233.100006,226.279999,227.169998,227.169998,8238000
2019-07-02,228.889999,229.149994,222.220001,224.550003,224.550003,9259000
2019-07-03,239.389999,241.570007,234.509995,234.899994,234.899994,14201100
2019-07-05,234.570007,235.449997,230.800003,233.100006,233.100006,7057700
